Mileage,Dealer_Name,Rating,Review_Count,Price,Year,Variant
830,Mercedes-Benz of Walnut Creek,4.4,1030,68425,2023,EQB 300 Base 4MATIC
45887,Fletcher Jones Imports,4.9,2438,39992,2018,AMG C 43 Base 4MATIC
21388,Mercedes-Benz of Newton,4.7,256,35000,2019,GLC 300 Base 4MATIC
26962,Mercedes-Benz of Delray,4.6,1776,53987,2020,GLE 450 AWD 4MATIC
18111,Mercedes-Benz of Alexandria,3.8,995,47995,2020,E-Class E 350 4MATIC
5568,Mercedes-Benz of Easton,4.6,683,118798,2022,AMG GLE 63 S
9987,Mercedes-Benz of North Palm Beach,2.9,51,79900,2019,S-Class S 560 4MATIC
12241,Mercedes-Benz of Fredericksburg,4.7,432,48000,2022,AMG GLA 35 Base
4836,Mercedes-Benz of Delray,4.6,1776,89500,2022,AMG GT 43 Base
58339,Mercedes-Benz of Pompano,4.5,795,79998,2018,G-Class G 550 4MATIC
1809,Loeber Motors Inc.,4.2,542,64698,2022,E-Class
38744,Mercedes-Benz of Albuquerque,4.7,2326,52442,2020,CLS 450 Base
3709,Mercedes-Benz of Pompano,4.5,795,56495,2023,E-Class E 350 4MATIC
1687,Mercedes-Benz of Miami,4.4,1397,50377,2023,C-Class C 300
35798,Mercedes-Benz of Mt. Pleasant,4.5,67,46588,2019,AMG C 43 Base 4MATIC
3731,Mercedes-Benz of Naperville,4.7,907,57977,2023,GLC 300 4MATIC Coupe
21273,Mercedes-Benz of Fort Mitchell,4.8,626,123649,2021,AMG GLS 63 Base 4MATIC
8928,Mercedes-Benz of Stevens Creek,4.6,2273,39988,2022,GLA 250 Base 4MATIC
1008,Mercedes-Benz Of Bedford,4.7,487,48492,2023,GLB 250 Base 4MATIC
1557,Mercedes-Benz of St. Charles,4.7,592,61893,2023,AMG CLA 45 Base 4MATIC
7673,Mercedes-Benz of North Palm Beach,2.9,51,46500,2022,AMG GLA 35 Base
53605,Mercedes-Benz Doylestown,4.4,474,54105,2017,AMG GLE 63 S-Model 4MATIC
44023,Mercedes-Benz of Foothill Ranch,4.7,669,57899,2020,GLS 450 Base 4MATIC
7986,Mercedes-Benz of Lehigh Valley,4.7,318,177000,2019,AMG G 63 Base
770,Mercedes-Benz of Hoffman Estates,4.6,1188,174999,2021,Maybach GLS 600 4MATIC
12537,Mercedes-Benz of Hoffman Estates,4.6,1188,93999,2021,GLS 580 Base 4MATIC
58705,Bloomington Normal Auto-Mall,3.4,160,58688,2020,GLS 450 Base 4MATIC
17461,Mercedes-Benz of Fort Myers,4.7,993,80996,2021,AMG GT 53 Base
17464,Fletcher Jones Imports,4.9,2438,62994,2021,AMG GLC 43 4MATIC Coupe
21430,Volkswagen of Quad Cities,4.8,180,66000,2020,GLS 450 Base 4MATIC
52928,Mercedes-Benz of Fort Myers,4.7,993,36996,2018,GLS 450 Base 4MATIC
5351,Mercedes-Benz of Columbia,5,957,73369,2022,GLE 450 AWD 4MATIC
23108,Mercedes-Benz of Owings Mills,4.9,2291,45990,2019,AMG GLC 43 Base 4MATIC
15117,Mercedes-Benz of St. Charles,4.7,592,67893,2021,GLE 450 AWD 4MATIC
19890,Mercedes-Benz of Louisville,4.3,990,69954,2022,GLE 450 AWD 4MATIC
32058,Bergstrom Luxury on Victory Lane,4.2,292,34888,2020,GLC 300 Base 4MATIC
7023,Mercedes-Benz of Honolulu,4.9,1148,31382,2020,A-Class A 220
33328,Bobby Rahal Motorcar Company,4.8,107,46550,2019,AMG GLC 43 4MATIC
3820,Mercedes-Benz of Scarborough,4.5,543,53455,2023,C-Class C 300 4MATIC
50456,Mercedes-Benz of South Orlando,4.4,1404,57217,2021,GLE 450 AWD 4MATIC
7905,Mercedes-Benz of South Orlando,4.4,1404,62059,2022,E-Class E 450
29795,Mercedes-Benz of San Antonio,4.9,1987,37991,2021,GLA 250 Base
30061,Mercedes-Benz of Columbia,5,957,70988,2020,S-Class S 560 4MATIC
29430,Mercedes-Benz of Traverse City,5,354,57991,2020,GLE 450 AWD 4MATIC
25148,Mercedes-Benz of Cherry Hill,4.2,508,55995,2020,GLE 350 Base 4MATIC
32857,Mercedes-Benz of Calabasas,4.8,970,48997,2020,E-Class E 450
1614,Mercedes-Benz of Chicago,4.8,1329,67994,2023,E-Class E 350 4MATIC
12429,Mercedes-Benz of Hoffman Estates,4.6,1188,114999,2022,S-Class S 580 4MATIC
6026,Mercedes-Benz of White Plains,4.3,1645,58800,2023,E-Class E 350 4MATIC
35966,Sullivan-Parkhill,4.5,435,37729,2019,E-Class E 300
35421,Mercedes-Benz of South Orlando,4.4,1404,44007,2020,E-Class E 450 4MATIC
7650,Jackie Cooper Imports,4.9,4129,43427,2022,GLB 250 Base 4MATIC
1992,Mercedes-Benz of South Mississippi,4.8,2626,69997,2023,GLE 450 AWD 4MATIC
22285,Mercedes-Benz of Plano,4.7,1826,58250,2022,GLE 350 Base
3514,Mercedes-Benz of Springfield,4.9,102,61749,2023,E-Class E 350 4MATIC
5736,Euro Motorcars Devon,4.1,335,60994,2022,E-Class E 350 4MATIC
28235,Jackie Cooper Imports,4.9,4129,35732,2020,GLB 250 Base 4MATIC
26462,Capital Eurocars,4.9,1968,39591,2020,GLC 300 Base 4MATIC
42317,Mercedes-Benz of Birmingham,4.9,870,38984,2020,GLB 250 Base 4MATIC
22108,Mercedes-Benz of Chicago,4.8,1329,66994,2020,GLS 450 Base 4MATIC
3606,Aristocrat Motors,4.7,1375,76977,2023,GLE 350 Base 4MATIC
1113,Mercedes-Benz of Fort Lauderdale,4.6,1187,106499,2023,AMG GT 43 Base
4991,Mercedes-Benz of Albuquerque,4.7,2326,54000,2022,C-Class C 300 4MATIC
2513,Autohaus on Edens,4.7,2494,69940,2023,E-Class E 450 4MATIC
12971,Mercedes-Benz of Atlanta Northeast,4.7,2049,67230,2021,GLE 450 AWD 4MATIC
16601,Mercedes-Benz of Tucson,4.5,343,197069,2021,AMG G 63 Base
44172,Mercedes-Benz of Orange County NY,4.6,243,59495,2020,GLS 450 Base 4MATIC
13353,Mercedes-Benz of Littleton,4.7,1156,57899,2020,CLS 450 Base 4MATIC
33606,Mercedes-Benz of Alexandria,3.8,995,44495,2019,E-Class E 300
56377,Mercedes-Benz of Hoffman Estates,4.6,1188,73999,2019,AMG E 63 S 4MATIC
3377,Mercedes-Benz of Scarborough,4.5,543,43950,2023,CLA 250 Base 4MATIC
3959,Mercedes-Benz of Scarborough,4.5,543,44349,2023,CLA 250 Base 4MATIC
36313,Mercedes-Benz of Chicago,4.8,1329,64994,2020,GLS 450 Base 4MATIC
52195,W.I. Simonson Inc.,4.7,895,47496,2020,CLS 450 Base
31760,Volkswagen of Quad Cities,4.8,180,36500,2020,GLC 300 Base 4MATIC
3054,Mercedes-Benz of Miami,4.4,1397,50477,2023,C-Class C 300
4087,Aristocrat Motors,4.7,1375,39977,2022,A-Class A 220 4MATIC
999,Mercedes-Benz of South Orlando,4.4,1404,68007,2023,EQE 350 Base 4MATIC
712,Mercedes-Benz of Walnut Creek,4.4,1030,51886,2023,EQB 350 Base 4MATIC
66371,Mercedes-Benz of Houston North,4.5,1791,22591,2018,CLA 250 Base
